country,flag_url,state,city,university,logo_url,course,course_category,degree_level,website,ielts_min,sat_required,sat_min
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Computer Engineering,Engineering,Master,https://www.victoriauni1.edu,6.8,0,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Mechanical Engineering,Engineering,Bachelor,https://www.victoriauni1.edu,6.4,0,1200
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Civil Engineering,Engineering,Bachelor,https://www.victoriauni1.edu,6.1,0,0
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Electrical Engineering,Engineering,Bachelor,https://www.victoriauni1.edu,6,1,1200
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Computer Science,IT,Bachelor,https://www.victoriauni1.edu,6.7,1,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Data Science,IT,Master,https://www.victoriauni1.edu,7.2,1,0
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Information Technology,IT,Master,https://www.victoriauni1.edu,6.3,0,1300
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Artificial Intelligence,IT,Bachelor,https://www.victoriauni1.edu,6.5,1,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Business Administration,Business,Master,https://www.victoriauni1.edu,7.1,0,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Finance,Business,Bachelor,https://www.victoriauni1.edu,7.4,0,1300
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Marketing,Business,Master,https://www.victoriauni1.edu,7.3,1,1300
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,International Business,Business,Master,https://www.victoriauni1.edu,7.1,0,1250
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Medicine,Health,Master,https://www.victoriauni1.edu,7.2,0,0
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Nursing,Health,Bachelor,https://www.victoriauni1.edu,7,1,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Public Health,Health,Master,https://www.victoriauni1.edu,7,1,0
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Pharmacy,Health,Master,https://www.victoriauni1.edu,6.5,1,1300
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,International Relations,Arts,Bachelor,https://www.victoriauni1.edu,7.5,1,1250
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Psychology,Arts,Bachelor,https://www.victoriauni1.edu,7.3,0,1200
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Sociology,Arts,Master,https://www.victoriauni1.edu,7,0,0
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Media Studies,Arts,Bachelor,https://www.victoriauni1.edu,7,1,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,LLB Law,Law,Bachelor,https://www.victoriauni1.edu,7.5,1,0
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,International Law,Law,Bachelor,https://www.victoriauni1.edu,7.1,1,1200
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 1,https://logo.clearbit.com/www.victoriauni1.edu,Corporate Law,Law,Bachelor,https://www.victoriauni1.edu,7.3,1,1300
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Computer Engineering,Engineering,Master,https://www.victoriauni2.edu,7.2,0,1250
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Mechanical Engineering,Engineering,Master,https://www.victoriauni2.edu,6.4,0,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Civil Engineering,Engineering,Master,https://www.victoriauni2.edu,6.9,0,1200
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Electrical Engineering,Engineering,Bachelor,https://www.victoriauni2.edu,7.2,0,0
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Computer Science,IT,Master,https://www.victoriauni2.edu,6.6,0,1300
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Data Science,IT,Bachelor,https://www.victoriauni2.edu,7.5,0,1250
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Information Technology,IT,Bachelor,https://www.victoriauni2.edu,6.4,0,1250
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Artificial Intelligence,IT,Bachelor,https://www.victoriauni2.edu,7.2,0,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Business Administration,Business,Master,https://www.victoriauni2.edu,6.8,1,1200
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Finance,Business,Master,https://www.victoriauni2.edu,7.1,0,1300
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Marketing,Business,Master,https://www.victoriauni2.edu,6.3,0,1100
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,International Business,Business,Master,https://www.victoriauni2.edu,6.7,1,1300
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Medicine,Health,Bachelor,https://www.victoriauni2.edu,6.8,1,1250
Australia,https://flagcdn.com/w320/au.png,Victoria,Victoria,Victoria State University 2,https://logo.clearbit.com/www.victoriauni2.edu,Nursing,Health,Bachelor,https://www.victoriauni2.edu,6.1,1,1200
